Designator,Mid X,Mid Y,Rotation,Layer
C1,17.78,-5.334,180.0,top
C11,218.7995,-5.334,180.0,top
C13,258.699,-5.298501,180.0,top
C15,298.82025,-5.350001,180.0,top
C17,159.893,-8.001,180.0,top
C19,86.487,-4.953,0.0,top
C20,77.597,-2.032,180.0,top
C22,42.291,-17.5299,90.0,top
C3,58.481,-5.334001,180.0,top
C5,98.425,-5.325,180.0,top
C7,138.618,-5.334001,180.0,top
C9,178.55125,-5.318001,180.0,top
D1,12.83775,-2.413,90.0,top
D2,53.53875,-2.413001,90.0,top
D3,93.48275,-2.404,90.0,top
D4,133.67575,-2.413001,90.0,top
D5,173.609,-2.397001,90.0,top
D6,213.85725,-2.413,90.0,top
D7,253.75675,-2.377501,90.0,top
D8,293.878,-2.429001,90.0,top
R1,12.83775,-6.604,90.0,top
R10,185.663249,-2.286,270.0,top
R11,213.85725,-6.603999,90.0,top
R12,225.911499,-2.301999,270.0,top
R13,253.75675,-6.5685,90.0,top
R14,265.810999,-2.2665,270.0,top
R15,293.878,-6.62,90.0,top
R16,305.932249,-2.318,270.0,top
R17,53.467,-22.733,180.0,top
R18,45.085,-23.003,90.0,top
R2,24.892,-2.302,270.0,top
R3,53.53875,-6.604,90.0,top
R4,65.592999,-2.302,270.0,top
R5,93.48275,-6.594999,90.0,top
R6,105.536999,-2.292999,270.0,top
R7,133.67575,-6.604,90.0,top
R8,145.729999,-2.302,270.0,top
R9,173.609,-6.588,90.0,top
U1,21.844,-6.504,90.0,top
U10,302.88425,-6.52,90.0,top
U11,80.899,-10.043,270.0,top
U13,38.815,-18.476,180.0,top
U2,62.545,-6.504,90.0,top
U3,102.489,-6.494999,90.0,top
U4,142.682,-6.504,90.0,top
U5,182.61525,-6.488,90.0,top
U6,222.8635,-6.503999,90.0,top
U7,262.763,-6.4685,90.0,top
U8,158.496,-14.224,270.0,top
